SKILL_20150317_000001	Ataque
SKILL_20150317_000654	[Ravinepede] Magia Neutra
SKILL_20150317_000655	[Kirmelich] Impacto Físico Neutro
SKILL_20150317_000656	[Kirmelich] Perfuração Física Neutra
SKILL_20150317_000657	[Naktis] Magia Neutra
SKILL_20150317_000658	[Devilglove] Impacto Físico Neutro
SKILL_20150317_000659	[Devilglove] Impacto Mágico Neutro
SKILL_20150317_000660	[Kelberos] Impacto Físico Neutro
SKILL_20150317_000661	[Kelberos] Magia Fisica Neutra
SKILL_20150317_000662	[Minotaurus] Impacto Físico de Propriedade Fogo
SKILL_20150317_000663	[Minotaurus] Magia de Fogo
SKILL_20150317_000664	[Minotaurus] Magia Física de Fogo
SKILL_20150317_000665	[Chapparition] Corte Físico Sombrio
SKILL_20150317_000666	[Chapparition] Magia Sombria
SKILL_20150317_000667	[Scorpio] Corte Físico Neutro
SKILL_20150317_000668	[Scorpio] Perfuração Física Neutra
SKILL_20150317_000669	[Moa] Perfuração Física Neutra
SKILL_20150317_000670	[Moa] Impacto Físico Neutro
SKILL_20150317_000671	[Moa] Corte Físico Neutro
SKILL_20150317_000672	[Scorpio] Magia Física Venenosa
SKILL_20150317_000673	[Bramble] Magia Neutra
SKILL_20150317_000674	[Bramble] Magia Sombria
SKILL_20150317_000675	[Glass_Mole] Impacto Físico Neutro
SKILL_20150317_000676	[Glass_Mole] Perfuração Física Neutra
SKILL_20150317_000677	[Denoptic] Magia Neutra
SKILL_20150317_000678	[Denoptic] Impacto Mágico Neutro
SKILL_20150317_000679	[Deathweaver] Magia Fisica Neutra
SKILL_20150317_000680	[Deathweaver] Magia Neutra
SKILL_20150317_000681	[Deathweaver] Perfuração Física Neutra
SKILL_20150317_000682	[Atirador do Templo] Perfuração Física Neutra
SKILL_20150317_000683	[Atirador do Templo] Magia Neutra
SKILL_20150317_000684	[Unknocker] Impacto Físico Sombrio
SKILL_20150317_000685	[Unknocker] Magia Física Sombria
SKILL_20150317_000686	[Unknocker] Impacto Mágico Sombrio
SKILL_20150317_000687	[Gorgon] Impacto Físico Neutro
SKILL_20150317_000688	[Gorgon] Impacto Físico Sombrio
SKILL_20150317_000689	[Gorgon] Magia Sombria
SKILL_20150317_000690	[Mummyghast] Impacto Físico Sombrio
SKILL_20150317_000691	[Mummyghast] Perfuração Física Sombria
SKILL_20150317_000692	[Mummyghast] Magia Sombria
SKILL_20150317_000693	[Hydra] Magia Física de Gelo
SKILL_20150317_000694	[Hydra] Magia de Gelo
SKILL_20150317_000695	[Hydra] Perfuração Física Neutra
SKILL_20150317_000696	[Hydra] Corte Físico Neutro
SKILL_20150317_000697	[Lorde da Tumba] Magia Neutra
SKILL_20150317_000698	[Rocktortuga_TEST] Impacto Físico Neutro
SKILL_20150317_000699	[Clymen] Impacto Físico de Propriedade Veneno
SKILL_20150317_000700	[Reaverpede] Impacto Físico Neutro
SKILL_20150317_000701	[Colimencia] Impacto Físico Neutro
SKILL_20150317_000702	[Clymen] Magia Física Venenosa
SKILL_20150317_000703	[Colimencia] Magia Fisica Neutra
SKILL_20150317_000704	[Colimencia] Magia Neutra
SKILL_20150317_000705	[Jack-o-Lantern] Impacto Físico Neutro
SKILL_20150317_000706	[Jack-o-Lantern] Impacto Físico de Propriedade Fogo
SKILL_20150317_000707	[Mothstem] Impacto Físico Elétrico
SKILL_20150317_000708	[Mothstem] Magia Fisica Elétrica
SKILL_20150317_000709	[Gauge Golem] Dano Físico Neutro
SKILL_20150317_000710	[Mentiken] Corte Físico Neutro
SKILL_20150317_000711	[Moyabruka] Impacto Físico Neutro
SKILL_20150317_000712	[Velorchard] Impacto Físico Neutro
SKILL_20150317_000713	[Shnayim] Impacto Físico Neutro
SKILL_20150317_000714	[Harpeia] Corte Físico Neutro
SKILL_20150317_000715	[Lorde da Tumba] Perfuração Mágica Neutra
SKILL_20150317_000716	[Achat] Magia Fisica Elétrica
SKILL_20150317_000717	[Shnayim] Magia Fisica Elétrica
SKILL_20150317_000718	[Mentiken] Magia Física Venenosa
SKILL_20150317_000719	[Gazing Golem] Impacto Físico de Propriedade Fogo
SKILL_20150317_000720	[Gazing Golem] Magia Física de Fogo
SKILL_20150317_000721	[Reaverpede] Magia de Propriedade Veneno
SKILL_20150317_000722	[Reaverpede] Magia Física Venenosa
SKILL_20150317_000723	[Mentiken] Magia Fisica Neutra
SKILL_20150317_000724	[Mentiken] Perfuração Física Neutra
SKILL_20150317_000725	[Velorchard] Magia de Propriedade Veneno
SKILL_20150317_000726	[Velorchard] Magia Fisica Neutra
SKILL_20150317_000727	[Moldyhorn] Magia Física Venenosa
SKILL_20150317_000728	[Moldyhorn] Impacto Físico Neutro
SKILL_20150317_000729	[Moldyhorn] Magia de Propriedade Veneno
SKILL_20150317_000730	[Goblin de Madeira Gigante] Perfuração Mágica Neutra
SKILL_20150317_000731	[Goblin de Madeira Gigante] Impacto Físico Neutro
SKILL_20150317_000732	[Glass_Mole] Impacto Mágico Neutro
SKILL_20150317_000733	[Harpeia] Perfuração Física Neutra
SKILL_20150317_000734	[Harpeia] Magia Neutra
SKILL_20150317_000735	[Harpeia] Magia Fisica Elétrica
SKILL_20150317_000736	[Rajatoad] Magia Física de Gelo
SKILL_20150317_000737	[Mallet Wyvern] Impacto Físico de Gelo
SKILL_20150317_000738	[Mallet Wyvern] Magia Física de Gelo
SKILL_20150317_000739	[Merge] Corte Físico Neutro
SKILL_20150317_000740	[Merge] Perfuração Física Neutra
SKILL_20150317_000741	[Unicórnio] Perfuração Física Neutra
SKILL_20150317_000742	[Unicórnio] Perfuração Física Sombria
SKILL_20150317_000743	[Unicórnio] Corte Físico Sombrio
SKILL_20150317_000744	[Unicórnio] Magia Sombria
SKILL_20150317_000745	[Jack-o-Lantern] Perfuração Física de Fogo
SKILL_20150317_000746	[Gesti] Magia Sombria
SKILL_20150317_000747	[Golem_Gray] Impacto Físico de Propriedade Terra
SKILL_20150317_000748	[Golem_Gray] Magia Física de Propriedade Terra
SKILL_20150317_000749	[Molich] Ataque Básico Normal
SKILL_20150317_000750	[Molich] Ataque Normal, Frontal
SKILL_20150317_000751	[Simorph] Impacto Físico de Propriedade Terra
SKILL_20150317_000752	[Nepenthes] Impacto Físico de Propriedade Terra
SKILL_20150317_000753	[Nepenthes] Habilidade de Cura
SKILL_20150317_000754	[Capria] Corte Físico de Propriedade Veneno
SKILL_20150317_000755	[Capria] Invocar Monstros
SKILL_20150317_000756	[Spectro do Monarca] Summon
SKILL_20150317_000757	[Netherbovine] Magia Sombria
SKILL_20150317_000758	[Yonazolem Monster Summon]
SKILL_20150317_000759	[Chefe Chaparition]Basico Normal Sombrio
SKILL_20150317_000760	[Chefe Chaparition]Mágico Normal Sombrio
SKILL_20150317_000761	[Chefe Kerberos]Basico Normal Fogo
SKILL_20150317_000762	[Chefe Kerberos]Mágico Mágico Fogo
SKILL_20150317_000763	[Poata] Impacto Físico de Propriedade Veneno
SKILL_20150317_000764	[Poata] Invocar Monstros Venenosos Físicos
SKILL_20150317_000765	[Lutador Vubbe Vermelho] Impacto Físico de Propriedade Fogo
SKILL_20150317_000766	Mágico Mágico Sombrio
SKILL_20150317_000767	[Lutador Vubbe] Invoca um monstro de propriedade terra.
SKILL_20150317_000768	[Lutador Vubbe Vermelho] Invocar monstros de Propriedade Fogo
SKILL_20150317_000769	[Corrompidor] Perfuração Física Sombria
SKILL_20150317_000770	[Carnivore] invocar Monstro
SKILL_20150317_000771	[Baleia de Pedra] invocar Monstro
SKILL_20150317_000772	$[Mestre Paladino] Ataque Normal
SKILL_20150317_000773	$[Mestre Sacerdote] Ataque Normal
SKILL_20150317_000774	$[Mestre Caçador] Ataque Normal
SKILL_20150317_000775	$[Mestre Krivis] Ataque Normal
SKILL_20150317_000776	$[Mestre Barbaro] Ataque Normal
SKILL_20150317_000777	$[Mestre Linker] Ataque Normal
SKILL_20150317_000778	$[Mestre Wugushi] Ataque Normal
SKILL_20150317_000779	$[Mestre Sadhu] Ataque Normal
SKILL_20150317_000780	$[Mestre Rodelero] Ataque Normal
SKILL_20150317_000781	$[Mestre Escoteiro] Ataque Normal
SKILL_20150317_000782	$[Mestre Rogue] Ataque Normal
SKILL_20150317_000783	$[Mestre Monge] Ataque Normal
SKILL_20150317_000784	$[Mestre Oraclo] Ataque Normal
SKILL_20150317_000785	$[Mestre Druida] Ataque Normal
SKILL_20150317_000786	$Ataque Básico
SKILL_20150317_000787	$Ataca um inimigo à curta distância.
SKILL_20150317_000788	$Arco de Mão Direita (Apenas Arcos de Duas Mãos)
SKILL_20150317_000789	$Inflinge dano ao manusear sua arma contra um inimigo à curta distância.
SKILL_20150317_000790	$Ataca um inimigo com magia à longa distância.
SKILL_20150317_000791	$Ataca um inimigo à curta distância(Apenas Espada de duas mãos de Guerreiros)
SKILL_20150317_000792	$Ataca um inimigo com magia à longa distância(Cajado de duas mãos)
SKILL_20150317_000793	$Adaga Perfurante
SKILL_20150317_000794	$Ataca um inimigo a curta distância. O inimigo é empurrado para trás quando acertado um certo número de vezes.
SKILL_20150317_000795	Som dos sonhos
SKILL_20150317_000796	Guarda Chuva Sombrio
SKILL_20150317_000797	$Em Desenvolvimento
SKILL_20150317_000798	$Habilidade de Itens
SKILL_20150317_000799	$Ataque Corrido
SKILL_20150317_000800	Está uma a versão básica do ataque corrido
SKILL_20150317_000801	Zaibas
SKILL_20150317_000802	{memo X}Lv.1 Ataque Médio #{SkillFactor}#, Espalhar #{SkillSR}#
SKILL_20150317_000803	$Básico
SKILL_20150317_000804	$Ataque Básico 2
SKILL_20150317_000805	$Arco Mão Esquerda
SKILL_20150317_000806	$Arco Mão Direita (Apenas Bestas)
SKILL_20150317_000807	Teste_Público 1
SKILL_20150317_000808	Malícia 1
SKILL_20150317_000809	Teste_Público 2
SKILL_20150317_000810	Malícia 2
SKILL_20150317_000811	Teste_Público 3
SKILL_20150317_000812	Malícia 3
SKILL_20150317_000813	Teste_Público 4
SKILL_20150317_000814	Malícia 4
SKILL_20150317_000815	Teste_Público 5
SKILL_20150317_000816	Malícia 5
SKILL_20150317_000817	{memo X}Gelo paster
SKILL_20150317_000818	{memo X}{#993399}{ol}[Magia] - [Gelo] - [Impacto]{/}{/}{nl}Invoca uma bola de gelo enorme que inflinge dano à inimigos próximos.
SKILL_20150317_000819	{memo X}Ataque #{SkillAtkAdd}# {nl} Espalhar #{CaptionRatio}# {nl} Duração #{CaptionTime}# segundos
SKILL_20150317_000820	$Hoplite
SKILL_20150317_000821	$Em Desenvolvimento
SKILL_20150317_000822	{memo X}Ataque + #{SkillFactor}# , Espalhar #{SkillSR}# {nl}Consumo #{SpendSP}# SP
SKILL_20150317_000823	$Guarda
SKILL_20150317_000824	Bloqueia o ataque de um inimigo com o escudo [Pontos de bloqueio 150]
SKILL_20150317_000825	$Média de Ataque Físico: +#{SkillFactor}# + #{SkillAtkAdd}#
SKILL_20150317_000826	[Carta Golem] Impacto Físico Neutro
SKILL_20150317_000827	[Carta Mushcaria] Impacto Físico de Propriedade Veneno
SKILL_20150317_000828	[Carta Rocktortuga] Impacto Físico Neutro
SKILL_20150317_000829	[Carta Poata] Magia Física Sombria
SKILL_20150317_000830	[Carta Tutu] Corte Físico de Propriedade Veneno
SKILL_20150317_000831	[Carta Lutador Vubbe] Impacto Físico Neutro
SKILL_20150317_000832	[Carta Lutador Vubbe Vermelho] Perfuração Física Neutra
SKILL_20150317_000833	[Carta Chafer] Magia Física Venenosa
SKILL_20150317_000834	[Carta Glass_Mole] Perfuração Física Neutra
SKILL_20150317_000835	[Carta Espirito da Madeira] Magia Fisica Neutra
SKILL_20150317_000836	[Carta Cyclops] Impacto Físico Sombrio
SKILL_20150317_000837	[Carta Salamandra] Magia de Fogo
SKILL_20150317_000838	[Carta Bearkaras] Magia Fisica Neutra
SKILL_20150317_000839	[Carta Spectro Iluminado] Impacto Mágico Sombrio
SKILL_20150317_000840	[Carta Baleia de Pedra] Impacto Mágico Neutro
SKILL_20150317_000841	[Carta Ginklas] Impacto Físico de Propriedade Fogo
SKILL_20150317_000842	[Carta Carapace] Impacto Físico Neutro
SKILL_20150317_000843	[Carta Spectro do Monarca] Magia Sombria
SKILL_20150317_000844	[Carta Netherbovine] Perfuração Física Sombria
SKILL_20150317_000845	[Carta Mirtis] Corte Mágico Sombrio
SKILL_20150317_000846	[Carta Sequoia] Magia Física de Fogo
SKILL_20150317_000847	[Carta Rikaus] Corte Físico Sombrio
SKILL_20150317_000848	[Carta Lobisomem] Magia Física Sombria
SKILL_20150317_000849	[Carta Shadowgaler] Corte Mágico Sombrio
SKILL_20150317_000850	[Carta Carnivore] Magia Física Venenosa
SKILL_20150317_000851	[Carta Minotauro] Magia de Fogo
SKILL_20150317_000852	[Carta Throneweaver] Impacto Mágico Venenoso
SKILL_20150317_000853	[Carta Biteregina] Perfuração Física Neutra
SKILL_20150317_000854	[Carta Chapparition] Magia Sombria
SKILL_20150317_000855	[Carta Mummyghast] Magia Física Sombria
SKILL_20150317_000856	$Sopro de Gelo
SKILL_20150317_000857	[Carta Ironbaum] Impacto Físico de Propriedade Fogo
SKILL_20150317_000858	[Carta Gorgon] Perfuração Mágica Sombria
SKILL_20150317_000859	[Carta Drapeliun] Perfuração Física Sombria
SKILL_20150317_000860	[Carta Unicórnio] Corte Mágico Sombrio
SKILL_20150317_000861	[Carta Moldyhorn] Magia de Propriedade Veneno
SKILL_20150317_000862	[Carta Rytaswort] Perfuração Mágica Venenosa
SKILL_20150317_000863	[Carta Harpeia] Corte Físico Elétrico
SKILL_20150317_000864	[Carta Mothstem] Impacto Físico Elétrico
SKILL_20150317_000865	[Carta Merge] Corte Físico Neutro
SKILL_20150317_000866	[Carta Clymen] Impacto Físico de Propriedade Veneno
SKILL_20150317_000867	[Carta Devilglove] Impacto Mágico de Propriedade Elétrica
SKILL_20150317_000868	[Necroventer] Magia Sombria
SKILL_20150317_000869	[Carta Molich] Impacto Físico Sombrio
SKILL_20150317_000870	[Carta Yonazolem] Impacto Mágico Neutro
SKILL_20150317_000871	[Carta Abominação] Corte Físico Sombrio
SKILL_20150317_000872	[Carta Ellaganos] Perfuração Física Sombria
SKILL_20150317_000873	[Carta Archon] Impacto Físico de Propriedade Fogo
SKILL_20150317_000874	[Carta Gaigalas] Magia Física de Fogo
SKILL_20150317_000875	[Carta Bramble] Impacto Mágico Sombrio
SKILL_20150317_000876	[Carta Honeypin] Impacto Físico de Propriedade Veneno
SKILL_20150317_000877	[Carta Bebraspion] Impacto Físico Elétrico
SKILL_20150317_000878	[Carta Goblin de Madeira Vermelho Gigante] Magia de Fogo
SKILL_20150317_000879	[Carta Goblin de Madeira Gigante] Magia Neutra
SKILL_20150317_000880	[Carta Kirmelich] Perfuração Física Venenosa
SKILL_20150317_000881	[Magbug] Magia Física de Fogo
SKILL_20150317_000882	[Carta Kepachieftain] Impacto Físico de Propriedade Veneno
SKILL_20150317_000883	[Carta Achat] Magia Neutra
SKILL_20150317_000884	[Carta Shnayim] Magia de Propriedade Elétrica
SKILL_20150317_000885	[Carta Lorde da Tumba] Magia Sombria
SKILL_20150317_000886	[Carta Denoptic] Magic Lightning Property Slash
SKILL_20150317_000887	[Carta Iltiswort] Magia Física Venenosa
SKILL_20150317_000888	[Carta Scorpio] Perfuração Física Venenosa
SKILL_20150317_000889	[Enchant Poison] Magic Poison Property
SKILL_20150317_000890	[Carta Ravinepede] Impacto Físico de Propriedade Veneno
SKILL_20150317_000891	[Carta Rajatoad] Magia Física de Água
SKILL_20150317_000892	[Carta Unknocker] Impacto Físico Sombrio
SKILL_20150317_000893	[Carta Saltistter] Physical Water Property Strike
SKILL_20150317_000894	[Carta Deadborn] Corte Físico Neutro
SKILL_20150317_000895	[Carta Corrompidor] Magia Sagrada
SKILL_20150317_000896	[Carta Mallet Wyvern] Impacto Mágico Neutro
SKILL_20150317_000897	[Carta Moyabruka] Impacto Físico Neutro
SKILL_20150317_000898	[Carta Colimencia] Impacto Físico de Água
SKILL_20150317_000899	[Carta Rajapearl] Impacto Mágico de Água
SKILL_20150317_000900	[Carta Mushwort] Magia de Propriedade VenenoSKILL_20150317_000901	[Carta Lepus] Perfuração Física de Água
SKILL_20150317_000902	[Carta Sparnas] Magia Fisica Elétrica
SKILL_20150317_000903	[Carta Cactusvel] Magia Física Venenosa
SKILL_20150317_000904	[Throw] Impacto Físico Neutro
SKILL_20150317_000905	[Carta Velorchard] Magia de Propriedade Veneno
SKILL_20150317_000906	[Carta Luropus] Perfuração Física Neutra
SKILL_20150317_000907	[Carta Dionia] Magia Neutra
SKILL_20150317_000908	[Carta Gazing Golem] Impacto Físico de Propriedade Fogo
SKILL_20150317_000909	[Invocar Folhas] Magia Neutra
SKILL_20150317_000910	[Carta Hydra] Magia Física de Água
SKILL_20150317_000911	[Carta Moa] Impacto Físico Neutro
SKILL_20150317_000912	[Carta Jack O'Lantern] Perfuração Mágica de Fogo
SKILL_20150317_000913	[Carta Manticen] Magia Fisica Neutra
SKILL_20150317_000914	[Carta Mineloader] Magia Fisica Elétrica
SKILL_20150317_000915	[Carta Grinender] Magia de Fogo
SKILL_20150317_000916	[Carta Helgasercle] Corte Físico Sombrio
SKILL_20150317_000917	[Carta Yekub] Impacto Mágico Sombrio
SKILL_20150317_000918	[Escudo Físico] Magia Neutra
SKILL_20150317_000919	[Carta Sparnasman] Magia Fisica Neutra
SKILL_20150317_000920	$Estocada
SKILL_20150317_000921	{memo X}{#DD5500}{ol}[Físico] - [Perfurante]{/}{/}{nl}Perfura e empurra o inimigo.
SKILL_20150317_000922	{memo X}Ataque #{SkillAtkAdd}#{nl}Cortante #{SkillSR}#
SKILL_20150317_000923	$Golpe
SKILL_20150317_000924	{memo X}${#DD5500}{ol}[Físico] - [Cortante]{/}{/}{nl}Inflinge dano no alvo ao manejar fortemente sua arma.
SKILL_20150317_000925	$Gung Ho
SKILL_20150317_000926	{memo X}Aumenta o seu ataque, mas díminui a sua defesa.
SKILL_20150317_000927	$Dano Físico: +#{CaptionRatio}#{nl}Defesa Física: -#{CaptionRatio2}#{nl}Duração: #{CaptionTime}# segundos
SKILL_20150317_000928	$Concentração
SKILL_20150317_000929	{memo X}$Aumenta o poder das suas habilidades de ataque.
SKILL_20150317_000930	$Dano Adicional: +#{CaptionRatio2}#{nl}Número de Acertos: #{CaptionRatio}#{nl}Duração: #{CaptionTime}# segundos
SKILL_20150317_000931	$Coibir
SKILL_20150317_000932	{memo X}Díminui o seu HP máximo, mas aumenta o seu ataque.
SKILL_20150317_000933	{memo X}Ataque Físico + #{CaptionRatio}#{nl}HP Máximo - #{CaptionRatio2}# {nl} Duração #{CaptionTime}# segundos
SKILL_20150317_000934	$Golpe Umbo
SKILL_20150317_000935	{memo X}{#DD5500}{ol}[Físico] - [Impacto]{/}{/}{nl}Ataca colidindo o seu escudo. {nl} Inflinge mais dano após bloquear um ataque inimigo.
SKILL_20150317_000936	$Golpe de Rebordo
SKILL_20150317_000937	{memo X}{#DD5500}{ol}[Físico] - [Impacto]{/}{/}{nl}Ataca usando a borda do seu escudo. {nl} Inflinge mais dano em monstros congelados ou petrificados.
SKILL_20150317_000938	$Provocar
SKILL_20150317_000939	{memo X}$Bate no seu escudo para provocar inimigos próximos.
SKILL_20150317_000940	$Alvos: #{SkillSR}#{nl}Provações Máximas: +#{CaptionRatio}# por #{CaptionTime}# segundos
SKILL_20150317_000941	{memo X}Díminui o seu ataque, mas aumenta a sua defesa.
SKILL_20150317_000942	$Defesa Física: +#{CaptionRatio}#{nl}Dano Físico: -#{CaptionRatio2}#{nl}Duração: #{CaptionTime}# segundos
SKILL_20150317_000943	$Arremessar Escudo
SKILL_20150317_000944	{memo X}{#DD5500}{ol}[Físico] - [Impacto]{/}{/}{nl} Arremessa o seu escudo no inimigo causando dano.
SKILL_20150317_000945	$Aprimorar Defesa
SKILL_20150317_000946	$Borboleta
SKILL_20150317_000947	$Roda de Vagão
SKILL_20150317_000948	{memo X}{#DD5500}{ol}[Físico] - [Cortante]{/}{/}{nl} Executa um ataque que lança seus inimigos no ar.
SKILL_20150317_000949	$Pulverizar
SKILL_20150317_000950	{memo X}$ {#DD5500}{ol}[Físico] - [Impacto]{/}{/}{nl} Concentra o seu poder para esmagar seus inimigos contra o chão.
SKILL_20150317_000951	{memo X}Ataque #{SkillAtkAdd}#{nl}Tempo de conjuração 0.5 segundos{nl}Espalhado #{SkillSR}#
SKILL_20150317_000952	$Trauma
SKILL_20150317_000953	{memo X}{#DD5500}{ol}[Físico] - [Impacto]{/}{/}{nl} Realiza um forte ataca esmagando a cabeça do inimigo. Díminui a INT e o SPR do inimigo temporariamente.
SKILL_20150317_000954	{memo X}Ataque #{SkillAtkAdd}#{nl}Espalhado #{SkillSR}#{nl}{#339999}{ol}[Choque]{/}{/} Duração #{CaptionTime}# segundos
SKILL_20150317_000955	$Guarda Cruzada
SKILL_20150317_000956	{memo X}Use a sua arma para se defender.
SKILL_20150317_000957	$Defesa: +#{CaptionRatio}#{nl}Bloqueio: +#{CaptionRatio2}#
SKILL_20150317_000958	$Molinete
SKILL_20150317_000959	{memo X}${#DD5500}{ol}[Físico] - [Cortante]{/}{/}{nl}Executa 5 ataques consecutivos à frente.
SKILL_20150317_000960	$Perfuração
SKILL_20150317_000961	{memo X}${#DD5500}{ol}[Físico] - [Perfurante]{/}{/}{nl} Ataca o inimigo consecutivamente.
SKILL_20150317_000962	$Perfurar
SKILL_20150317_000963	{memo X}${#DD5500}{ol}[Físico] - [Perfurante]{/}{/}{nl} Perfura fortemente o inimigo inflingindo dano.{nl} Um bônus de ataque será aplicado dependendo do tamanho do inimigo.
SKILL_20150317_000964	{memo X}Ataque #{SkillAtkAdd}#{nl}Dois ataques em alvos médios{nl}Três ataques em alvos grandes.
SKILL_20150317_000965	$Finestra
SKILL_20150317_000966	{memo X}$Troca a sua forma.{nl} Aumenta a chance de crítico, mas díminui a sua esquiva.
SKILL_20150317_000967	{memo X}Crítico + #{CaptionRatio}#{nl}Esquiva - #{CaptionRatio2}#{nl}Duração #{CaptionTime}# segundos
SKILL_20150317_000968	$Estocada Sincronizada
SKILL_20150317_000969	{memo X}${#DD5500}{ol}[Físico] - [Perfurante] - [Impacto]{/}{/}{nl} Inflinge dano no inimigo ao atacar com o escudo e lança.
SKILL_20150317_000970	{memo X}Ataque da Lança #{SkillAtkAdd}#{nl}Ataque do Escudo #{CaptionRatio}#{nl}Espalhado #{SkillSR}#
SKILL_20150317_000971	$Tranco
SKILL_20150317_000972	${#DD5500}{ol}[Físico] - [Perfurante]{/}{/}{nl} Inflinge dano no inimigo ao pular em sua direção.
SKILL_20150317_000973	$Arremessar Lança
SKILL_20150317_000974	$Avançar
SKILL_20150317_000975	{memo X}${#DD5500}{ol}[Físico] - [Impacto]{/}{/}{nl} Corre segurando seu escudo causando dano aos inimigos. O primeiro alvo atingido será derrubado.
SKILL_20150317_000976	{memo X}Ataque #{SkillAtkAdd}#{nl}Max. Duração 10 segundos{nl}Consome STA
SKILL_20150317_000977	$Montano
SKILL_20150317_000978	{memo X}${#DD5500}{ol}[Físico] - [Cortante]{/}{/}{nl} Usa um forte ataque na parte de baixo do alvo.
SKILL_20150317_000979	{memo X}Ataque #{SkillAtkAdd}#{nl}{#339999}{ol}[Confusão]{/}{/} Duração 7 segundos
SKILL_20150317_000980	$Esmagar Alvo
SKILL_20150317_000981	{memo X}${#DD5500}{ol}[Físico] [Impacto]{/}{/}{nl} Inflinge dano ao esmagar o alvo com seu escudo. Tem grande chance de causa cegueira no alvo.
SKILL_20150317_000982	{memo X}Ataque #{SkillAtkAdd}#{nl}{#339999}{ol}[Cegueira]{/}{/} Duração 3 segundos{nl}Espalhado #{SkillSR}#
SKILL_20150317_000983	$Empurrar Escudo
SKILL_20150317_000984	{memo X}${#DD5500}{ol}[Físico] [Impacto]{/}{/}{nl} Usa o seu escudo contra o inimigo.{nl} Causa o Efeito Desiquilibrío no Inimigo
SKILL_20150317_000985	{memo X}Ataque #{SkillAtkAdd}#{nl}{#339999}{ol}[Desiquilibrío]{/}{/} Duração 5 segundos
SKILL_20150317_000986	$Empalar
SKILL_20150317_000987	{memo X}${#DD5500}{ol}[Perfurante]{/}{/}{nl} Empala um monstro pequeno com sua lança. O monstro preso na lança receberá dano toda vez que está habilidade for usada.
SKILL_20150317_000988	$Tremor
SKILL_20150317_000989	{memo X}${#DDD300}{ol}[Impacto]{/}{/}{nl} Concentra o seu poder e o usa na sua arma para esmagar o inimigo contra o chão.
SKILL_20150317_000990	$Trote
SKILL_20150317_000991	$Aumenta a sua Velocidade de Movimento.
SKILL_20150317_000992	{memo X}Velocidade de Movimento +#{CaptionRatio}#%{nl}Duração #{CaptionTime}# segundos
SKILL_20150317_000993	$Avanço Forçado
SKILL_20150317_000994	{memo X}${#DDD300}{ol}[Impacto]{/}{/}{nl}Força um avanço à frente arremessando os inimigos no seu caminho.
SKILL_20150317_000995	$Estocada Fatal
SKILL_20150317_000996	{memo X}${#DDD300}{ol}[Perfurante]{/}{/}{nl} Concentra o seu poder para realizar uma forte estacada contra o inimigo.
SKILL_20150317_000997	$Corrida
SKILL_20150317_000998	{memo X}${#DD5500}{ol}[Cortante]{/}{/}{nl} Gira a sua lança sobre a sua cabeça continuamente causando dano ao inimigo.
SKILL_20150317_000999	{memo X}Ataque #{SkillAtkAdd}#{nl}Max. Duração 10 segundos{nl}Espalhado #{SkillSR}#
SKILL_20150317_001000	$Trazendo a Morte
SKILL_20150317_001001	{memo X}{#DDD300}{ol}[Perfurante]{/}{/}{nl}Ataca os inimigos à frente continuamente.
SKILL_20150317_001002	$Estripar
SKILL_20150317_001003	{memo X}${#DD5500}{ol}[Perfurante]{/}{/}{nl} Realiza uma forte estocada e depois chuta o inimigo.
SKILL_20150317_001004	$Frenesi
SKILL_20150317_001005	{memo X}$Aumenta o seu ataque após usar vários ataques consecutivos em um alvo.
SKILL_20150317_001006	{memo X}$Ataque +#{CaptionRatio}# {nl} Acumulo #{CaptionRatio2}# vezes {nl} Duração #{CaptionTime}# segundos
SKILL_20150317_001007	$Agressor
SKILL_20150317_001008	{memo X}$Seus ataque não vão errar, mas a sua média crítica e sua esquiva crítica diminuem.
SKILL_20150317_001009	{memo X}Chance Crítica -#{CaptionRatio}#%{nl}Esquiva Crítica -#{CaptionRatio}#%{nl}Duração #{CaptionTime}# segundos
SKILL_20150317_001010	$Selvageria
SKILL_20150317_001011	{memo X}$Enquanto o Buff estiver ativo, um contínuo bônus de ataque ser aplicado a ataques que possuem o efeito {#DD5500}{ol}[Perfurante]{/}{/}.
SKILL_20150317_001012	${#DD5500}{ol}[Perfurante]{/}{/} Bônus de Ataque Contínuo {nl} Duração: #{CaptionTime}# segundos
SKILL_20150317_001013	$Grito de Guerra
SKILL_20150317_001014	{memo X}Diminui o ataque dos inimigos próximos e adiciona ao seu ataque.
SKILL_20150317_001015	$Alvos: #{CaptionRatio}#{nl} Defesa Física Máxima: -#{CaptionRatio2}#{nl}Duração: #{CaptionTime}# segundos
SKILL_20150317_001016	$Chute e Pisoteio
SKILL_20150317_001017	{memo X}${#DD5500}{ol}[Impacto]{/}{/}{nl} Pisoteia o inimigo após um pulo.
SKILL_20150317_001018	{memo X}manutenção de armas
SKILL_20150317_001019	{memo X}Abrir Loja para Reparar Armas.
SKILL_20150317_001020	{memo X}manutenção de Armaduras
SKILL_20150317_001021	{memo X}Abrir Loja para Reparar Armaduras.
SKILL_20150317_001022	$Reparar
SKILL_20150317_001023	{memo X}Usa o seu escudo para empurrar o seu inimigo abaixo
SKILL_20150317_001024	$Prender
SKILL_20150317_001025	$Jolly Roger
SKILL_20150317_001026	$Gancho de Ferro
SKILL_20150317_001027	$Arrastar
SKILL_20150317_001028	$Destrancar Baú
