QUEST_20150317_000001	$Por favor, selecione o usuário solicitando a atualização da busca. 
QUEST_20150317_000305
QUEST_20150317_000306
QUEST_20150317_000307
QUEST_20150317_000308
QUEST_20150317_000309
QUEST_20150317_000310
QUEST_20150317_000311
QUEST_20150317_000312
QUEST_20150317_000313
QUEST_20150317_000314
QUEST_20150317_000315
QUEST_20150317_000316
QUEST_20150317_000317
QUEST_20150317_000318
QUEST_20150317_000319
QUEST_20150317_000320
QUEST_20150317_000321
QUEST_20150317_000322
QUEST_20150317_000323
QUEST_20150317_000324
QUEST_20150317_000325
QUEST_20150317_000326
QUEST_20150317_000327
QUEST_20150317_000328
QUEST_20150317_000329
QUEST_20150317_000330
QUEST_20150317_000331
QUEST_20150317_000332
QUEST_20150317_000333
QUEST_20150317_000334
QUEST_20150317_000335
QUEST_20150317_000336
QUEST_20150317_000337
QUEST_20150317_000338
QUEST_20150317_000339
QUEST_20150317_000340
QUEST_20150317_000341
QUEST_20150317_000342
QUEST_20150317_000343
QUEST_20150317_000344
QUEST_20150317_000345
QUEST_20150317_000346
QUEST_20150317_000347
QUEST_20150317_000348
QUEST_20150317_000349
QUEST_20150317_000350
QUEST_20150317_000351
QUEST_20150317_000352	Bravo Protetor de Zachariel
QUEST_20150317_000353	{memo X}Correto. {nl}Eu abrirei o selo.
QUEST_20150317_000354	Errado. {nl}Mas, eu te darei mais uma chance.
QUEST_20150317_000355	Protetor Fiel de Zachariel
QUEST_20150317_000356	{memo X}Me desculpe, mas apenas pessoas autorizadas podem usar o bondinho.
QUEST_20150317_000357	Eco de Liliya
QUEST_20150317_000358	{memo X}Tem algo enterrado debaixo daquela grama?
QUEST_20150317_000359	{memo X}Por que eu... Por que isso... Argh! Por favor, me ajude...{nl}Não... Apenas me deixe para morrer...
QUEST_20150317_000360	{memo X}Pelo que ela estava procurando enquanto morria?{nl}Definitivamente há uma trágica história por trás de tudo isso.
QUEST_20150317_000361
QUEST_20150317_000362
QUEST_20150317_000363
QUEST_20150317_000364
QUEST_20150317_000365
QUEST_20150317_000366
QUEST_20150317_000367
QUEST_20150317_000368
QUEST_20150317_000369
QUEST_20150317_000370
QUEST_20150317_000371
QUEST_20150317_000372
QUEST_20150317_000373
QUEST_20150317_000374
QUEST_20150317_000375
QUEST_20150317_000376
QUEST_20150317_000377
QUEST_20150317_000378
QUEST_20150317_000379
QUEST_20150317_000380
QUEST_20150317_000381
QUEST_20150317_000382
QUEST_20150317_000383
QUEST_20150317_000384
QUEST_20150317_000385
QUEST_20150317_000386
QUEST_20150317_000387
QUEST_20150317_000388
QUEST_20150317_000389
QUEST_20150317_000390
QUEST_20150317_000391
QUEST_20150317_000392
QUEST_20150317_000393
QUEST_20150317_000394
QUEST_20150317_000395
QUEST_20150317_000396
QUEST_20150317_000397
QUEST_20150317_000398
QUEST_20150317_000399
QUEST_20150317_000400
QUEST_20150317_000401
QUEST_20150317_000402
QUEST_20150317_000403
QUEST_20150317_000404
QUEST_20150317_000405
QUEST_20150317_000406
QUEST_20150317_000407
QUEST_20150317_000408
QUEST_20150317_000409
QUEST_20150317_000410
QUEST_20150317_000411
QUEST_20150317_000412
QUEST_20150317_000413
QUEST_20150317_000414
QUEST_20150317_000415
QUEST_20150317_000416
QUEST_20150317_000417
QUEST_20150317_000418
QUEST_20150317_000419
QUEST_20150317_000420
QUEST_20150317_000421
QUEST_20150317_000422
QUEST_20150317_000423
QUEST_20150317_000424
QUEST_20150317_000425
QUEST_20150317_000426
QUEST_20150317_000427
QUEST_20150317_000428
QUEST_20150317_000429
QUEST_20150317_000430
QUEST_20150317_000431
QUEST_20150317_000432
QUEST_20150317_000433
QUEST_20150317_000434
QUEST_20150317_000435
QUEST_20150317_000436
QUEST_20150317_000437
QUEST_20150317_000438
QUEST_20150317_000439
QUEST_20150317_000440
QUEST_20150317_000441
QUEST_20150317_000442
QUEST_20150317_000443
QUEST_20150317_000444
QUEST_20150317_000445
QUEST_20150317_000446
QUEST_20150317_000447
QUEST_20150317_000448
QUEST_20150317_000449
QUEST_20150317_000450
QUEST_20150317_000451
QUEST_20150317_000452
QUEST_20150317_000453
QUEST_20150317_000454
QUEST_20150317_000455
QUEST_20150317_000456
QUEST_20150317_000457
QUEST_20150317_000458
QUEST_20150317_000459
QUEST_20150317_000460
QUEST_20150317_000461
QUEST_20150317_000462
QUEST_20150317_000463
QUEST_20150317_000464
QUEST_20150317_000465
QUEST_20150317_000466
QUEST_20150317_000467
QUEST_20150317_000468
QUEST_20150317_000469
QUEST_20150317_000470
QUEST_20150317_000471
QUEST_20150317_000472
QUEST_20150317_000473
QUEST_20150317_000474
QUEST_20150317_000475
QUEST_20150317_000476
QUEST_20150317_000477
QUEST_20150317_000478
QUEST_20150317_000479
QUEST_20150317_000480
QUEST_20150317_000481
QUEST_20150317_000482
QUEST_20150317_000483
QUEST_20150317_000484
QUEST_20150317_000485
QUEST_20150317_000486
QUEST_20150317_000487
QUEST_20150317_000488
QUEST_20150317_000489
QUEST_20150317_000490
QUEST_20150317_000491
QUEST_20150317_000492
QUEST_20150317_000493
QUEST_20150317_000494
QUEST_20150317_000495
QUEST_20150317_000496
QUEST_20150317_000497
QUEST_20150317_000498
QUEST_20150317_000499
QUEST_20150317_000500
QUEST_20150317_000501 $Veja se não é você...a pessoa que me fez libertar a Deusa Saule. {nl}Por que está colocando sua vida em risco?
QUEST_20150317_000502 $Não há necessidade para todos estes problemas. {nl}Você deveria seguir o exemplo dos outros e mergulhar na paz, {nl}e orar para que a Deusa conceda-lhe seus desejos.
QUEST_20150317_000503 $Eu lhe alertei, mas você simplesmente não quis ouvir.
QUEST_20150317_000504 $Você deve pagar o preço de sua escolha.
QUEST_20150317_000505 $Eu te subestimei.
QUEST_20150317_000506 {memo X}Ainda não acabou! {nl}Eu estarei observando da [#pending Fallen Worry Forest].
QUEST_20150317_000507 $Aviso
QUEST_20150317_000508 $Estragado. Não usar!
QUEST_20150317_000509 $Esta é a primeira Revelação que eu fiz. {nl}Para você, esta deve ser a terceira.
QUEST_20150317_000510 $Minha força irá enfraquecer toda vez que eu colocar uma parte de mim em uma Revelação. {nl}Mais de mil anos terão se passado no momento em que a revelação chegar até você. {nl}E mesmo minha consciência terá deixado de existir. 
QUEST_20150317_000511 $É por isso que eu precisei encontrar um guardião para proteger a Revelação. {nl}Infelizmente, minhas irmãs e eu não chegamos em um acordo sobre minha Revelação, {nl}e eu não fui capaz de deixar a Revelação com a maioria delas.
QUEST_20150317_000512 $Somente Saule apoiou minha Revelação, então deixei-a com ela. {nl}E por um tempo muito longo, eu saí em uma jornada em busca de um guardião.
QUEST_20150317_000513 $Quando pensei em humanos como você, uma idéia promissora me surgiu. {nl}Os demônios desprezam os humanos, então eles não poderiam nem imaginar que eu deixaria a Revelação com você.
QUEST_20150317_000514 $Mas acima de tudo, eu confiei nos humanos. {nl}Você deve ter visto isto por si mesmo até agora. {nl}Apesar de passar por desastres como a Árvore do Desespero, {nl}humanos não perdem a esperença facilmente.
QUEST_20150317_000515 $O guardião da próxima Revelação será aquele que une o Reino. {nl}Você poderá encontrar a próxima Revelação na parte mais profunda do Mausoléu Real aonde ele descansa.
QUEST_20150317_000516 {memo X}O mausoléu fica na área do vale. {nl}Irei abrir um portal para você.
QUEST_20150317_000517 $Alma Presa do Soldado
QUEST_20150317_000518 $Por favor, me ajude.
QUEST_20150317_000519 $Leve-me até a Deusa.
QUEST_20150317_000520 $É tão doloroso
QUEST_20150317_000521 $Parece estar dormindo.
QUEST_20150317_000522 $Estátua da Coruja Enfurecida
QUEST_20150317_000523 $Sem respostas.
QUEST_20150317_000524 $Alma do Mercador Pesaroso
QUEST_20150317_000525 $Se você não tiver dinheiro, você não é diferente de um homem morto.
QUEST_20150317_000526 $Eu deveria ter ouvido minha esposa. {nl}Ela disse que é má sorte ser amigo de estudiosos... {nl}Eu estou realmente caindo fora dos negócios!
QUEST_20150317_000527 $Eu poderia compensar a perda se recuperasse os itens...
QUEST_20150317_000528 $Estátua da Coruja Adormecida
QUEST_20150317_000529 $Ela parece estar em um sono muito profundo.
QUEST_20150317_000530 $Não há absolutamente nenhum resposta.
QUEST_20150317_000531 $Não há absolutamente nenhum movimento.
QUEST_20150317_000532 $A escrita não é mais visível.
QUEST_20150317_000533 $Têm o direito de receber a mensagem real secreta.
QUEST_20150317_000534 $As letras não estão mais visíveis.
QUEST_20150317_000535 {memo X}Parece que a função deixou de funcionar.
QUEST_20150317_000536 {memo X}Sim...este é o melhor tempo para beber um rum.
QUEST_20150317_000537 {memo X}Eu sou o pirata que perdeu seu derradeiro navio! {nl}Hmm..eu gosto de como isto soa.
QUEST_20150317_000538 {memo X}Me prove sua competência.
QUEST_20150317_000539 {memo X}Mesmo que as Deusas não estejam por perto, {nl} o Oráculo continua podendo enviar as mensagens delas para as pessoas.
QUEST_20150317_000540 {memo X}Haha, obrigado. {nl}Lembre-se, deve ser a árvore na praça central.
QUEST_20150317_000541 $Blaster Luina
QUEST_20150317_000542 $Os Hogmas estão invadindo através de uma entrada que encontraram. {nl}Nos pediram para destruir a entrada para bloquear a sua invasão.
QUEST_20150317_000543 $Mas depois de ser atacado, não tenho mais bombas.
QUEST_20150317_000544 $Têm bombas boas para uso único dentro da caixa. {nl}Use-as para destruir a barricada que eles fizeram.
QUEST_20150317_000545 $E pegue algo com eles que possa ser usado como explosivos.
QUEST_20150317_000546 $Gerente do Mercado
QUEST_20150317_000547 $Bem vindo! {nl}Você pode comprar ótimos itens por um preço barato se você procurar com cuidado. {nl}É claro, também é possível gastar uma grande quantia em algo que supostamente deve ser barato...
QUEST_20150317_000548 $Cartão de Proposta
QUEST_20150317_000549 $Rosas que ainda têm fragância. {nl}Embora elas parecem ter murchado com o tempo.
QUEST_20150317_000550 $Idoso Benevolente
QUEST_20150317_000551
QUEST_20150317_000552
QUEST_20150317_000553
QUEST_20150317_000554
QUEST_20150317_000555
QUEST_20150317_000556
QUEST_20150317_000557
QUEST_20150317_000558
QUEST_20150317_000559
QUEST_20150317_000560
QUEST_20150317_000561
QUEST_20150317_000562
QUEST_20150317_000563
QUEST_20150317_000564
QUEST_20150317_000565
QUEST_20150317_000566
QUEST_20150317_000567
QUEST_20150317_000568
QUEST_20150317_000569
QUEST_20150317_000570
QUEST_20150317_000571
QUEST_20150317_000572
QUEST_20150317_000573
QUEST_20150317_000574
QUEST_20150317_000575
QUEST_20150317_000576
QUEST_20150317_000577
QUEST_20150317_000578
QUEST_20150317_000579
QUEST_20150317_000580
QUEST_20150317_000581
QUEST_20150317_000582
QUEST_20150317_000583
QUEST_20150317_000584
QUEST_20150317_000585
QUEST_20150317_000586
QUEST_20150317_000587
QUEST_20150317_000588
QUEST_20150317_000589
QUEST_20150317_000590
QUEST_20150317_000591
QUEST_20150317_000592
QUEST_20150317_000593
QUEST_20150317_000594
QUEST_20150317_000595
QUEST_20150317_000596
QUEST_20150317_000597
QUEST_20150317_000598
QUEST_20150317_000599
QUEST_20150317_000600
QUEST_20150317_000601
QUEST_20150317_000602
QUEST_20150317_000603
QUEST_20150317_000604
QUEST_20150317_000605
QUEST_20150317_000606
QUEST_20150317_000607
QUEST_20150317_000608
QUEST_20150317_000609
QUEST_20150317_000610
QUEST_20150317_000611
QUEST_20150317_000612
QUEST_20150317_000613
QUEST_20150317_000614
QUEST_20150317_000615
QUEST_20150317_000616
QUEST_20150317_000617
QUEST_20150317_000618
QUEST_20150317_000619
QUEST_20150317_000620
QUEST_20150317_000621
QUEST_20150317_000622
QUEST_20150317_000623
QUEST_20150317_000624
QUEST_20150317_000625
QUEST_20150317_000626
QUEST_20150317_000627
QUEST_20150317_000628
QUEST_20150317_000629
QUEST_20150317_000630
QUEST_20150317_000631
QUEST_20150317_000632
QUEST_20150317_000633
QUEST_20150317_000634
QUEST_20150317_000635
QUEST_20150317_000636
QUEST_20150317_000637
QUEST_20150317_000638
QUEST_20150317_000639
QUEST_20150317_000640
QUEST_20150317_000641
QUEST_20150317_000642
QUEST_20150317_000643
QUEST_20150317_000644
QUEST_20150317_000645
QUEST_20150317_000646
QUEST_20150317_000647
QUEST_20150317_000648
QUEST_20150317_000649
QUEST_20150317_000650
QUEST_20150317_000651
QUEST_20150317_000652
QUEST_20150317_000653
QUEST_20150317_000654
QUEST_20150317_000655
QUEST_20150317_000656
QUEST_20150317_000657
QUEST_20150317_000658
QUEST_20150317_000659
QUEST_20150317_000660
QUEST_20150317_000661
QUEST_20150317_000662
QUEST_20150317_000663
QUEST_20150317_000664
QUEST_20150317_000665
QUEST_20150317_000666
QUEST_20150317_000667
QUEST_20150317_000668
QUEST_20150317_000669
QUEST_20150317_000670
QUEST_20150317_000671
QUEST_20150317_000672
QUEST_20150317_000673
QUEST_20150317_000674
QUEST_20150317_000675
QUEST_20150317_000676
QUEST_20150317_000677
QUEST_20150317_000678
QUEST_20150317_000679
QUEST_20150317_000680
QUEST_20150317_000681
QUEST_20150317_000682
QUEST_20150317_000683
QUEST_20150317_000684
QUEST_20150317_000685
QUEST_20150317_000686
QUEST_20150317_000687
QUEST_20150317_000688
QUEST_20150317_000689
QUEST_20150317_000690
QUEST_20150317_000691
QUEST_20150317_000692
QUEST_20150317_000693
QUEST_20150317_000694
QUEST_20150317_000695
QUEST_20150317_000696
QUEST_20150317_000697
QUEST_20150317_000698
QUEST_20150317_000699
QUEST_20150317_000700
QUEST_20150317_000701
QUEST_20150317_000702
QUEST_20150317_000703
QUEST_20150317_000704
QUEST_20150317_000705
QUEST_20150317_000706
QUEST_20150317_000707
QUEST_20150317_000708
QUEST_20150317_000709
QUEST_20150317_000710
QUEST_20150317_000711
QUEST_20150317_000712
QUEST_20150317_000713
QUEST_20150317_000714
QUEST_20150317_000715
QUEST_20150317_000716
QUEST_20150317_000717
QUEST_20150317_000718
QUEST_20150317_000719
QUEST_20150317_000720
QUEST_20150317_000721
QUEST_20150317_000722
QUEST_20150317_000723
QUEST_20150317_000724
QUEST_20150317_000725
QUEST_20150317_000726
QUEST_20150317_000727
QUEST_20150317_000728
QUEST_20150317_000729
QUEST_20150317_000730
QUEST_20150317_000731
QUEST_20150317_000732
QUEST_20150317_000733
QUEST_20150317_000734
QUEST_20150317_000735
QUEST_20150317_000736
QUEST_20150317_000737
QUEST_20150317_000738
QUEST_20150317_000739
QUEST_20150317_000740
QUEST_20150317_000741
QUEST_20150317_000742
QUEST_20150317_000743
QUEST_20150317_000744
QUEST_20150317_000745
QUEST_20150317_000746
QUEST_20150317_000747
QUEST_20150317_000748
QUEST_20150317_000749
QUEST_20150317_000750
QUEST_20150317_000751	Fragmento do Rei Kadumel
QUEST_20150317_000752	Kalezimas. Como o mundo é doce!
QUEST_20150317_000753	Fragmento de Rimgaudas
QUEST_20150317_000754	Meu trabalho estará completo assim que a #pending Capela de Tenet estiver completa. {nl}Que a Deusa nos guie até o final.
QUEST_20150317_000755	Fragmento de Lucid Winterspoon
QUEST_20150317_000756	Que meu plano seja bem sucedido e me garanta o título de Mestre Cronomante.
QUEST_20150317_000757	Enciclopédia dos Mestres Capítulo 1
QUEST_20150317_000758	Este livro contém informações sobre todos os mestres atuais. {nl}As publicações continuarão, então aguarde o próximo livro.
QUEST_20150317_000759	Highlander Mestre {nl}[Douglas Black] {nl}Um experiente general dos nobres que estava no comando dos Guardas Reais. {nl}Como líder dos Highlanders, ele trabalhou na linha de frente, salvando o mundo do caos.
QUEST_20150317_000760	Mestre Cronomante {nl} [Lucid Winterspoon] {nl}Alquimista de uma família proeminente, ela recusou seu título para se tornar uma Cronomante. {nl}Ninguém além do Mestre Alquimista sabe sua idade verdadeira. É dito que ela está por aqui desde a cerimônia de inauguração da #pending Capela de Tenet.
QUEST_20150317_000761	Mestre Sentinela {nl} [Nemocen] {nl}Sucessor da lendária Lydia Schaffen, é o atirador #pending of tower-born stand-star. {nl}Famoso por perseguir o assassino Evoniphon. Rumores dizem que ele não se dá bem com a Caçadora Mestre, Fiona Ieva.
QUEST_20150317_000762	Mestre Paladino {nl} [Valentinas Naimon] {nl}O mais conhecido dos quatro heróis lendários. {nl}Ele salvou diversas vidas #pending in his verse durante o Dia da Besta Divina.
QUEST_20150317_000763	Estante de Livros
QUEST_20150317_000764	É muito difícil de ler.
QUEST_20150317_000765	Há diversos livros na estante. {nl}Que livro eu devo ler?
QUEST_20150317_000766	Está sob um feitiço e não pode ser lido.
QUEST_20150317_000767	Há alguns livros que valem a pena ler. {nl}Qual deve ser lido?
QUEST_20150317_000768	Há alguns livros que eu posso ler. {nl}Qual eu devo ler?
QUEST_20150317_000769	Vaso
QUEST_20150317_000770	Eu posso colocar minha mão no vaso. {nl}Que vaso eu devo verificar?
QUEST_20150317_000771	Há algo dentro do vaso. {nl}Qual eu devo verificar?
QUEST_20150317_000772	Há alguns vasos antigos dentre os vasos novos. {nl}Qual eu devo verificar?
QUEST_20150317_000773	Parece que você pode pegar o conteúdo do vaso se você virá-lo de cabeça pra baixo. {nl}Qual deles eu devo virar?
QUEST_20150317_000774	Há fragmentos espalhados pelo vaso. {nl}Devo dar uma olhada?
QUEST_20150317_000775	Há uma tábula de argila com escrituras. {nl}Devo dar uma olhada?
QUEST_20150317_000776	Há uma tábula mesa de argila aparentemente nova.
QUEST_20150317_000777	Há uma tábula de argila com escrituras.
QUEST_20150317_000778	A tábula de argila parece bastante antiga mas pode ser lida.
QUEST_20150317_000779	Você encontrou uma tábula de argila bastante antiga.
QUEST_20150317_000780	Não há nada.
QUEST_20150317_000781	Parece que você pode quebrar o vaso se você manuseá-lo de forma imprópria.
QUEST_20150317_000782	Vazio.
QUEST_20150317_000783	Um inseto saiu de dentro.
QUEST_20150317_000784	Uma batata meio comida saiu de dentro.
QUEST_20150317_000785	Uma tábula de argila saiu de dentro, mas está muito usada para ser lida.
QUEST_20150317_000786	Importância do Descanso
QUEST_20150317_000787	Homens jovens hoje em dia são tão implacáveis. {nl}Eles tentam fazer tudo em pé.
QUEST_20150317_000788	Seja fazendo armas, poções ou até mesmo cozinhar, eles tentam fazer tudo em pé. {nl}Você precisa se acalmar e sentar em uma posição confortável.
QUEST_20150317_000789	Sente-se e prepare todas as ferramentas e materiais necessários. {nl}Lembre-se que a criação vem depois da preparação.
QUEST_20150317_000790	Deusa Austeja
QUEST_20150317_000791	{memo X}Obrigado novamente em nome da Deusa. {nl}Agora eu seguirei as estrelas em nome da Deusa Ausrine.
QUEST_20150317_000792	$Pode ser melhor para mim somente cuidar do selo. {nl}Mas acredito que encontrar todas as minhas irmãs perdidas é a solução para tudo isso.
QUEST_20150317_000793	$Desejo o melhor para você… {nl}E que você e esta terra sejam abençoados. 
QUEST_20150317_000794	{memo X}Certo. Eu também acho. {nl}Os monstros estão definitivamente tirando vantagem do nosso mel. {nl}Mas é melhor ter alguma evidência, então traga um pedaço de colméia {nl}do #pending Apiário de Saltus.
QUEST_20150317_000795	Covarde
QUEST_20150317_000796	{memo X}Sou chamado de covarde mas eu não posso fazer nada. Estou realmente com muito medo.
QUEST_20150317_000797	$Entendi, você é aquele sobre quem as abelhas têm susurrado. {nl}Eu sou Austeja, a Deusa do Destino.
QUEST_20150317_000798	{memo X}O selo desse campo se estabilizou, obrigado. {nl}Mas os outros Reveladores se perderam por causa da força maligna fluindo dos Bosques da Luz da Primavera.
QUEST_20150317_000799	$Eu estarei usando todo o meu poder para evitar que isso continue a acontecer… {nl}Portanto, eu não posso me mover daqui.
QUEST_20150317_000800	$Por favor, salvem eles e os Bosques da Luz da Primavera.
QUEST_20150317_000801	{memo X}Unidade de Investigação
QUEST_20150317_000802	{memo X}Por quê tantos outros monstros apareceram?
QUEST_20150317_000803	{memo X}Os monstros arruinaram a colheita inteira.
QUEST_20150317_000804	Como você já deve saber, nosso reino tem cinco Deusas maiores e outras Deusas que auxiliam elas. {n1}Mas ninguém sabe onde estão todas elas agora.
QUEST_20150317_000805	Moça da Loja de Flores
QUEST_20150317_000806	As pessoas não compram mais flores. {nl}As únicas flores que elas compram são para oferecer para o retorno das Deusas. {n1}Isso é muito triste de diversas formas.
QUEST_20150317_000807	Espero que Klaipeda se torne vívida como costumava ser… {nl}Com a fragrância de flores no ar e pessoas dançando na primavera em adoração a Deusa Zemyna, {n1}a Deusa da Terra…
QUEST_20150317_000808	Atenção
QUEST_20150317_000809	$Cuidado com os Grilos! Eles são diferentes dos Besouros. {nl}É difícil lutar contra eles quando eles vêm em bando então tome cuidado. 
QUEST_20150317_000810	$Atenção: Large Kepa não é uma cébola!{nl}Usar óculos de proteção é efetivo contra Large Kepa. {nl}Tome cuidado com ataques poderosos que fazem o chão tremer.
QUEST_20150317_000811	$Por favor, adore a Estátua da Deusa com uma mente piedosa. Você se tornará mais forte com {nl}o poder da Deusa Zemyna, abençoado pela própria Feitora da Terra.
QUEST_20150317_000812	$A Estátua da Deusa Zemyna se encontra no final desta estrada. 
QUEST_20150317_000813	$Atenção! Área infestada de Hanamings. {nl}Não se enganem pela sua aparência fofinha. {nl}Eles atacam em grupos e…{nl}(Marcas vermelhas cobrem o resto.)
QUEST_20150317_000814	$Caution! What happens to you beyond this point is your responsibility! {nl}Golems are rumored to appear in this area. Do not go any further.
QUEST_20150317_000815	P.S. É melhor correr do que rezar para a Deusa caso você encontre Golems.
QUEST_20150317_000816	As Deusas desapareceram. {n1}Mas se lutarmos bravamente contra os demônios, talvez as Deusas retornarão algum dia. {n1} - Laimonas
QUEST_20150317_000817	Atenção àqueles que vêm para Klaipeda depois de sonharem com a Revelação. {n1}O Cavaleiro Uska está esperando por vocês no Central Plaza.
QUEST_20150317_000818	Bem-vindos ao Centro Comercial de Klaipeda. {n1}Você pode comprar uma variedade de acessórios, ferramentas, equipamentos e outros itens.
QUEST_20150317_000819	Use as escadas à direita para ir ao Parque Central de Klaipeda.
QUEST_20150317_000820	Parque Central de Klaipeda
QUEST_20150317_000821	Quadro de Avisos
QUEST_20150317_000822	Bosques de Siauliai Leste
QUEST_20150317_000823	{memo X}Não se sabe à quem a estátua honra ou quão antiga ela é. {n1} Mas ela certamente possui poderes misteriores que move pessoas selecionadas para outras áreas.
QUEST_20150317_000824	Bom trabalho. {nl}Completei minha tarefa. {nl}Está na minha hora.
QUEST_20150317_000825	Vá em frente. {nl}O Escultor está lhe esperando. {nl}Estou feliz de ter guiado você.
QUEST_20150317_000826	Ah…
QUEST_20150317_000827	Perigo! O terreno abaixo dessa encruzilhada {nl}tem sido algo de monstros perigosos regularmente. Entrada proibida! {nl} - #pending The Fedimian Market
QUEST_20150317_000828	As pessoas estão cada vez rezando menos para a Deusa. {nl}Elas estão perdendo a esperança…
QUEST_20150317_000829	Como eu poderia lhe esquecer… {nl}Por favor, não vague por esta terra amaldiçoada {nl}e vá para os braços da Deusa.
QUEST_20150317_000830	Aviso de Feriado
QUEST_20150317_000831	Eu fui alistado no exército para salvar o reino. {n1}Portanto, o restaurante estará fechado nesse meio tempo. {n1} - Dono do Restaurante de Especiarias de Klaipeda, Vulinya
QUEST_20150317_000832	$Não apague as velas. {n1}Elas guiam os espíritos para que eles não se percam.
QUEST_20150317_000833	Como você sabe, o Rei morreu em Medzio Diena e o destino dos outros nobres e membros da realeza não foi diferente. {n1}O reino está resistindo de algum jeito mas… agora nós só podemos rezar.
QUEST_20150317_000834	{memo X}Agora nós só podemos rezar…
QUEST_20150317_000835	Quando o pináculo banhar-se com uma luz vermelha, a… porta… para a fantasia há de se abrir.
QUEST_20150317_000836	Testamento do Rei Zachariel
QUEST_20150317_000837	{memo X}Querido Revelador. {nl}Ouça as interpretações da Revelação.
QUEST_20150317_000838	Hmpf… {nl}Quem diria que eu seria desafiado por humanos…
QUEST_20150317_000839	Sua morte há de ser derradeiramente dolorosa!
QUEST_20150317_000840	Informativo de Recrutamento de Soldados
QUEST_20150317_000841	Nós queremos você! {nl}Proteja sua família e seu reino. {nl} - Estação de Recrutamento de Klaipeda
QUEST_20150317_000842	Estamos buscando bravos jovens que trarão ordem a esses tempos caóticos. {n1}O mundo precisa de você! {n1} - Estação de Recrutamento de Klaipeda
QUEST_20150317_000843	Honra. {nl}É disso que seu uniforme será feito. {nl} - Estação de Recrutamento de Klaipeda
QUEST_20150317_000844	Atenção! Proibida a entrada de civis.
QUEST_20150317_000845	{memo X}Somente pessoas autorizadas são permitidas.
QUEST_20150317_000846	Impossível.
QUEST_20150317_000847	Completar esse feitiço ajudará os soldados. {n1}Será que conseguirei?
QUEST_20150317_000848	{memo X}Os soldados morrerão se eu não conseguir. {nl}Preciso ser forte.
QUEST_20150317_000849	Eu consigo. {nl}Dessa vez, eu matarei Gaigalas.
QUEST_20150317_000850	$Infelizmente, eu não consigo resolver isso por você. É a vontade de Maven. {nl}Porém, eu posso lhe dar alguns conselhos.
QUEST_20150317_000851	{memo X}A Grande Catedral foi construída por Silvestro Maven há 660 anos.
QUEST_20150317_000852	A maldição de Naktis… Somente maldições se perpetuam por onde ela trilha. {nl}E agora ela está invadindo a Grande Catedral procurando pela Revelação.
QUEST_20150317_000853	{memo X}Tentamos ao máximo impedí-los até sua chegada. {nl}Mas como você pode ver, chegamos ao nosso limite.
QUEST_20150317_000854	Mesa da Capela
QUEST_20150317_000855	{memo X}…Só depois de três anos desde que Ruklys aprendeu com meus ensinamentos…
QUEST_20150317_000856	…dois anos após a guerra, meu primeiro discípulo acabou morto…
QUEST_20150317_000857	…um anos depois Lydia Schaffen deixou a Grande Catedral…
QUEST_20150317_000858	…Um dos três discípulos, Agailla Flurry…
QUEST_20150317_000859	Tem sido uma antiga tradição dessa cidade fazer vazos recheados com desejos e oferecê-los à Deusa. {n1}Esse desastre não terminaria quando a Deusa voltasse?
QUEST_20150317_000860	$A escritura na plataforma, pelo que lembro, era mais ou menos assim… {n1}Lembre-se do número sagrado com seus dois olhos. {n1}A luz das velas afasta o mal obscuro.
QUEST_20150317_000861	$Lembre-se do número escrito no candelabro. {n1}E acenda esse número de velas para resolvê-lo.
QUEST_20150317_000862	$As relíquias caíram nas mãos dos demônios por causa de minha fraqueza. {n1}Mas eles ainda não devem ter alcançado Naktis.
QUEST_20150317_000863	{memo X}As outras relíquias e chaves também estão em perigo, então é melhor você ir rápido.
QUEST_20150317_000864	Escrituras no Altar
QUEST_20150317_000865	Deusa Eterna. {nl}Que possamos adorar sua misericórdia infinita.
QUEST_20150317_000866	A vida se vai e a alma não tem para onde ir. {nl}Somente a Deusa pode nos salvar.
QUEST_20150317_000867	{memo X}Eu mandei o bispo lá.
QUEST_20150317_000868	{memo X}Monstros! Corra!
QUEST_20150317_000869	Dispositivo de Maven
QUEST_20150317_000870	O Dispositivo de Maven que o bispo havia mencionado. {nl}Há uma pequena fechadura.
QUEST_20150317_000871	#pending Pawndel Azul
QUEST_20150317_000872	O que é isso?
QUEST_20150317_000873	Você não está brincando, está?
QUEST_20150317_000874	#pending Pawnd Preto
QUEST_20150317_000875	E aí? {nl}Você suspeita de algo?
QUEST_20150317_000876	Posso confiar em você?
QUEST_20150317_000877	Naktis
QUEST_20150317_000878	{memo X}Não entregarei a Revelação para meros humanos!
QUEST_20150317_000879	{memo X}Revelação da Catedral
QUEST_20150317_000880	{memo X}Interpretação da Revelação
QUEST_20150317_000881	$Há mil anos, antes de sua geração… {n1}Esta é a história do tempo anterior a eu ter deixado a Revelação com o Grande Rei Zachariel.
QUEST_20150317_000882	$Esta terra era repleta de caos quando o Grande Rei Zachariel tentou levantar um novo reino. {n1}Somente um lugar parecia se encher de vida, e era esse lugar que Zachariel desejava.
QUEST_20150317_000883	$Mas o futuro que vi naquela terra era somente de morte e arrependimento. {n1}Então, eu deixei uma profecia que fez a capital se mudar para outro lugar quando o reino chegou a mil anos de idade.
QUEST_20150317_000884	$Agora é a vez dos humanos de cumprir aquela profecia. {n1}O fim se encontra após a névoa.
